recruiment_id,user_id,title_aspect,desc_aspect,company_aspect,poster_aspect,other_aspect,label,explanation
68806239,4,negative,negative,negative,neutral,positive,warning,"Các thông tin về mức lương ngang giá mặt bằng chung. Các thông tin như được nghỉ ngày chủ nhật là thông tin không cần thiết. Thông tin được đi du lịch hay lương tháng 13 có thể là một khoản hứa hẹn không nằm trong quy định bắt buộc của bộ lao động, cần phải làm rõ khi thành lập hợp đồng lao động. Khoảng lương tối thiểu - tối đa không trùng với khoảng lương đã đề cập trong tin tuyển dụng."
68880502,4,positive,positive,positive,not_mentioned,positive,warning,Chưa đề cập đến làm bao nhiêu ngày một tuần. Có đề cập đến việc làm bán thời gian nhưng tính nhẩm lại là ca 9 tiếng. 
68816111,4,positive,positive,positive,not_mentioned,positive,clean,Mô tả công việc đầy đủ.
68831777,4,negative,negative,negative,neutral,positive,warning,Chưa đề cập làm tối đa bao nhiêu tiếng một tuần. Không công khai tên công ty.
68793889,4,positive,negative,negative,neutral,positive,seeding,"Các thông tin về mức lương ngang giá mặt bằng chung. Các thông tin như được nghỉ ngày chủ nhật là thông tin không cần thiết. Thông tin được đi du lịch hay lương tháng 13 có thể là một khoản hứa hẹn không nằm trong quy định bắt buộc của bộ lao động, cần phải làm rõ khi thành lập hợp đồng lao động. Thông tin người tuyển dụng được xác thực nhưng không công khai tên công ty. "
68872382,4,negative,negative,negative,neutral,positive,warning,Chưa công khai tên công ty tuyển dụng. Tiêu đề công việc có đề cập đến mức lương.
68806928,4,positive,positive,positive,neutral,positive,seeding,"Các thông tin về mức lương ngang giá mặt bằng chung. Lương tháng 13 có thể là một khoản hứa hẹn không nằm trong quy định bắt buộc của bộ lao động, cần phải làm rõ khi thành lập hợp đồng lao động."
64300354,4,positive,negative,negative,neutral,negative,warning,Người tuyển dụng không đề cập cụ thể mặt hàng kinh doanh trong tin tuyển dụng.
64174237,4,negative,negative,not_mentioned,neutral,positive,warning,"Mức lương cao mức lương cao hơn trung bình. Các chế độ phụ cấp, bảo hiểm, lương thưởng tháng 13 là một khoản hứa hẹn cần phải đề cập trong hợp đồng. Trong tiêu đề công việc có đề cập đến tiền lương."
68830610,4,positive,positive,positive,not_mentioned,positive,clean,Các trường thông tin mô tả công việc đầy đủ.
68810773,4,neutral,negative,negative,neutral,positive,seeding,"Lễ, Tết được nghỉ là những thông tin không cần thiết, là nghĩa vụ của công ty đối với nhân viên chứ không phải là quyền lợi mà nhân viên nhận được."
68860206,4,positive,negative,positive,not_mentioned,positive,clean,"Tin tuyển dụng đầy đủ mô tả công việc, công ty được xác thực."
68864847,4,positive,neutral,neutral,not_mentioned,positive,clean,Mức lương ngang giá mặt bằng chung. Mô tả công việc đầy đủ đối với một công việc không yêu cầu trình độ.
68854589,4,positive,negative,positive,not_mentioned,positive,seeding,"Các thông tin về mức lương ngang giá mặt bằng chung. Các loại bảo hiểm là nghĩa vụ của công ty phải đóng cho người lao động chứ không phải là quyền lợi của người lao động. Lương tháng 13 có thể là một khoản hứa hẹn không nằm trong quy định bắt buộc của bộ lao động, cần phải làm rõ khi thành lập hợp đồng lao động."
68882787,3,positive,positive,positive,not_mentioned,positive,clean,"Thông tin rõ ràng, minh bạch"
68274290,3,negative,negative,positive,neutral,positive,warning,Thông tin tiêu đề chứa nội dung hối thúc 
68834280,3,positive,negative,positive,not_mentioned,positive,seeding,Chứa các thông tin quyền lợi không cần thiết
68892297,3,positive,negative,positive,not_mentioned,positive,seeding,Chứa các thông tin quyền lợi khong cần thiết
68848703,3,positive,positive,positive,not_mentioned,positive,clean,"Thông tin rõ ràng, minh bạch"
68475134,3,negative,negative,neutral,neutral,positive,seeding,"Thông tin tiêu đề chứa tiền lương, và các quyền lợi không cần thiết"
68703106,3,negative,negative,neutral,neutral,positive,warning,"Thông tin tiêu đề hối thúc, cấp bách"
68823448,3,positive,positive,neutral,not_mentioned,positive,clean,mặc dù thông tin ngắn gọn nhưng do tính chất công việc
68848034,3,positive,negative,positive,not_mentioned,positive,seeding,Thông tin chứa các quyền lợi không cần thiết
68806239,3,positive,negative,negative,neutral,positive,warning,"Thông tin đủ, nhưng địa chỉ làm việc và thông tin về công ty này chưa được rõ ràng và nhất quán, có quá nhiều hứa hẹn về phụ cấp và lương bổng."
68720279,3,neutral,negative,negative,negative,negative,warning,Không phải tin tuyển dụng
68880502,3,positive,positive,positive,not_mentioned,positive,warning,"Thông tin tuyển dụng ngắn gọn nhưng phù hợp với tính chất công việc, mức lương của đúng"
68816111,3,positive,positive,neutral,not_mentioned,positive,clean,Thông tin rõ ràng minh bạch
68831777,3,negative,negative,negative,neutral,positive,warning,"Thông tin tiêu đề hối thúc, khu vực làm việc mơ hồ"
68793889,3,positive,negative,negative,neutral,positive,seeding,"Chứa các thông tin quyền lợi không cần thiết như du lịch, bảo hiểm y tế"
68872382,3,negative,negative,negative,neutral,positive,seeding,"Thông tin tiêu đề chứa tiền lương, và các quyền lợi không cần thiết"
68806928,3,positive,negative,positive,neutral,positive,seeding,Có đề cập đến quyền lợi là các loại bảo hiểm.
64300354,3,positive,negative,negative,neutral,positive,seeding,Thông tin tuyển dụng chứa các thông tin quyền lợi không cần thiết như BHYT
64174237,3,negative,negative,not_mentioned,neutral,positive,warning,"Thông tin tiêu đề gấp gáp, hối thúc"
68830610,3,positive,positive,positive,not_mentioned,positive,clean,Thông tin tuyển dụng rõ ràng minh bạch
68810773,3,neutral,negative,negative,neutral,positive,seeding,"Lễ, Tết được nghỉ và Thưởng thêm	là các trường không liên quan, thông tin tiêu đề không rõ làm gì"
68860206,3,positive,positive,positive,not_mentioned,positive,clean,Thông tin xác thực minh bạch
68864847,3,positive,positive,positive,not_mentioned,positive,clean,"Thông tin rõ ràng , minh bạch"
68854589,3,positive,negative,positive,not_mentioned,positive,seeding,"Thông tin đầy đủ, công ty xác thực, tuy nhiên bảo hiểm là quy định chung của pháp luật (trường thông tin này trong tin tuyển dụng là không cần thiết)."
68878215,3,positive,positive,negative,neutral,positive,clean,Thông tin minh bạch rõ ràng
68706240,3,negative,negative,negative,negative,negative,warning,Không phải tin tuyển dụng
68898123,3,positive,positive,positive,not_mentioned,positive,clean,Thông tin minh bạch rõ ràng
68013394,3,positive,positive,negative,neutral,positive,clean,"Thông tin rõ ràng, minh bạch"
68857601,3,positive,negative,positive,not_mentioned,positive,seeding,Thông tin tuyển dụng chứa các quyền lợi không cần thiết như bảo hiểm y tế
68883653,3,positive,positive,positive,neutral,positive,clean,"Thông tin rõ ràng, minh bạch"
68889150,3,positive,negative,negative,neutral,positive,seeding,Thông tin chứa các quyền lợi không cần thiết
68896735,3,negative,negative,positive,neutral,positive,warning,Thông tin tiêu đề hối thúc cấp bách
68865223,3,positive,positive,positive,neutral,positive,clean,"Thông tin tuyển dụng minh bạch, rõ ràng"
68189548,3,positive,positive,positive,neutral,positive,clean,"Thông tin sơ sài có thể do tính chất công việc chỉ là công việc trình độ thấp, công ty tồn tại và xác thực."
68819681,3,positive,negative,positive,neutral,positive,warning,"Thông tin lương không rõ ràng, có các câu hứa hẹn"
68864585,3,positive,positive,positive,not_mentioned,positive,clean,"thông tin rõ ràng, minh bạch"
61072020,3,negative,negative,not_mentioned,neutral,positive,warning,"Tiêu đề công việc hấp dẫn ,không rõ ràng công việc, nội dung chứa các quyền lợi không cần thiết"
68890595,3,negative,positive,negative,not_mentioned,positive,warning,"TIÊU ĐỀ HỐI THÚC, CẤP BÁCH, NỘI DUNG QUÁ NGẮN GỌN"
68838715,3,positive,negative,neutral,not_mentioned,positive,seeding,"Thông tin mô tả công việc chứa các quyền lợi không cần thiết như du lịch, bhyt"
68862748,2,positive,positive,positive,not_mentioned,positive,clean,"Thông tin công việc tương đối đầy đủ và rõ ràng, công ty tồn tại và xác thực."
68169288,2,positive,positive,positive,neutral,positive,clean,"Thông tin công việc đầy đủ, công ty được xác thực."
64679984,2,negative,negative,negative,positive,positive,warning,"Tiêu đề công việc ""hối thúc"", thông tin công việc không đầy đủ quá nhiều hứa hẹn về phụ cấp và lương thưởng, công ty không xác thực."
68855018,2,positive,positive,positive,not_mentioned,positive,clean,Thông tin công việc tương đối đầy đủ.
68455421,2,positive,negative,negative,neutral,negative,warning,"Thông tin mô tả công việc sơ sài, thiếu nhiều trường thông tin, không đề cập đến mức lương."
68815340,2,positive,positive,negative,not_mentioned,positive,seeding,"Thông tin công việc gần như đầy đủ tuy nhiên phần quyền lợi: ""du lịch 1 năm 1 lần"", đây không phải là quyền lợi."
68764900,2,not_mentioned,positive,not_mentioned,neutral,negative,warning,"Thông tin công việc không rõ ràng, các phần thông tin trống khá nhiều."
64726806,2,negative,negative,not_mentioned,not_mentioned,positive,warning,"Công việc yêu cầu ""hối thúc"", chưa rõ ràng và không nhất quán về địa chỉ làm việc."
68876505,2,positive,negative,positive,not_mentioned,negative,warning,"Thông tin công việc tương đối sơ sài, công ty tồn tại (có thể đây chỉ là việc làm tư nhân), mức lương chưa được đề cập."
64247494,2,negative,negative,not_mentioned,neutral,positive,warning,"Chứa mức lương thưởng trong tiêu đề công việc, các thông tin về quyền lợi như: BHYT, BHXH,... là nghĩa vụ của công ty nếu xét theo pháp luật, địa chỉ làm việc chưa rõ ràng và nhất quán."
68865863,2,positive,positive,positive,not_mentioned,negative,warning,"Thông tin tương đối đầy đủ, tuy nhiên mức lương ở mô tả công việc và mục bên dưới không khớp nhau."
68882787,2,positive,positive,positive,not_mentioned,positive,clean,Thông tin gần như đầy đủ.
68274290,2,negative,negative,positive,neutral,positive,warning,"Các quyền lợi khá chung chung nhưng đều là bắt buộc đối với các doanh nghiệp, tiêu đề công việc ""hối thúc"" đi làm ngay."
68834280,2,positive,negative,positive,not_mentioned,positive,seeding,"Thông tin công việc đầy đủ, công ty tồn tại và xác thực, đúng với trụ sở công ty. Tuy nhiên, quyền lợi chưa rõ ràng, các quyền lợi trên là quy định bắt buộc của pháp luật."
68892297,2,positive,positive,positive,not_mentioned,positive,clean,"Thông tin tương đối đầy đủ, đây có thể là cửa hàng tư nhân."
68848703,2,positive,positive,positive,not_mentioned,positive,clean,Thông tin tương đối đủ.
68475134,2,negative,negative,neutral,neutral,positive,warning,"Tiêu đề công việc chứa mức lương, không rõ ràng về địa chỉ làm việc cụ thể và thông tin công ty."
68703106,2,negative,negative,neutral,neutral,positive,warning,"Tiêu đề công việc ""hối thúc"", địa chỉ làm việc và công ty không rõ ràng."
68823448,2,positive,negative,positive,not_mentioned,positive,warning,Thông tin công việc sơ sài thiếu việc đề cập đến việc cần làm.
68848034,2,positive,negative,positive,not_mentioned,positive,seeding,"Mô tả sơ sài có thể do đây là công việc lao động phổ thông, tuy nhiên công ty là xác thực. Các quyền lợi là thông tin thừa, vì đây là bắt buộc của nhà nước."
68806239,2,positive,negative,negative,neutral,positive,seeding,"Thông tin đủ, nhưng địa chỉ làm việc và thông tin về công ty này chưa được rõ ràng và nhất quán, có quá nhiều hứa hẹn về phụ cấp và lương bổng."
68720279,2,negative,negative,not_mentioned,neutral,negative,warning,Đây không phải 1 tin tuyển dụng.
68880502,2,positive,positive,positive,not_mentioned,positive,warning,Mức lương cho công việc tính ra tương đối thấp so với mặt bằng chung 9 tiếng / ngày và được 5 triệu / 1 tháng thì được xấp xỉ <20K VND / 1h.
68816111,2,positive,positive,positive,not_mentioned,positive,clean,Thông tin công việc đầy đủ.
68831777,2,negative,negative,negative,neutral,positive,warning,"Yêu cầu ""hối thúc"", không rõ ràng về cả công ty và địa chỉ dạng liệt kê, không cụ thể, quá nhiều hứa hẹn về phụ cấp như ""thưởng nóng hàng tuần""."
68793889,2,positive,negative,negative,neutral,positive,seeding,"Mô tả công việc tuy đầy đủ. Các quyền lợi như BHYT, du lịch,... là không liên quan và không nên bao gồm trong tin tuyển dụng."
68872382,2,negative,negative,negative,neutral,positive,warning,"Tiêu đề chứa tiền lương, thông tin công việc chưa rõ ràng về địa chỉ làm việc và công ty."
68806928,2,positive,negative,negative,neutral,positive,seeding,Có đề cập đến quyền lợi là các loại bảo hiểm.
64300354,2,positive,negative,negative,neutral,positive,seeding,"Các đặc quyền về quyền lợi còn hơi chung chung, công ty không cần đề cập."
64174237,2,negative,negative,not_mentioned,neutral,positive,warning,"Tiền lương trong tiêu đề, công ty không rõ ràng."
68830610,2,positive,positive,positive,not_mentioned,positive,clean,"Thông tin tương đối, đây có thể là cửa hàng tư nhân."
68810773,2,neutral,negative,negative,neutral,positive,seeding,"Công việc đơn giản, thông tin công việc rõ ràng, tuy nhiên quyền lợi là không đúng đối với 1 công việc."
68860206,2,positive,positive,positive,not_mentioned,positive,clean,"Thông tin tương đối đủ, công việc không yêu cầu trình độ chuyên môn cao."
68864847,2,positive,positive,neutral,not_mentioned,positive,clean,"Công việc đặc thù, không yêu cầu trình độ."
68854589,2,positive,negative,positive,not_mentioned,positive,seeding,"Thông tin đầy đủ, công ty xác thực, tuy nhiên bảo hiểm là quy định chung của pháp luật (trường thông tin này trong tin tuyển dụng là không cần thiết)."
68878215,2,positive,positive,negative,neutral,positive,clean,Thông tin tương đối đủ.
68706240,2,negative,negative,not_mentioned,neutral,negative,warning,Đây không phải là 1 tin tuyển dụng.
68898123,2,positive,positive,positive,not_mentioned,positive,clean,"Thông tin tương đối đủ, công ty và địa chỉ làm việc rõ ràng."
68013394,2,positive,positive,negative,neutral,positive,clean,Thông tin không gây nhầm lẫn.
68857601,2,positive,negative,positive,not_mentioned,positive,seeding,"Công ty tồn tại và xác thực, các quyền lợi quá chung chung (là bắt buộc với doanh nghiệp) và không cần thiết."
68883653,2,positive,positive,positive,neutral,positive,clean,"Đầy đủ, công ty tồn tại và địa chỉ làm việc trùng với cơ sở chính."
68889150,2,positive,negative,negative,neutral,positive,seeding,Các quyền lợi không cần đề cập vì đây là phần bắt buộc.
68896735,2,negative,positive,positive,neutral,negative,warning,"Yêu cầu gấp gáp, nơi làm việc không rõ ràng và nhất quán, quyền lợi về BHYT là không cần thiết."
68865223,2,positive,positive,positive,neutral,positive,clean,"Thông tin đầy đủ, nhưng chưa đề cập đến địa chỉ cụ thể làm việc."
68189548,2,positive,positive,positive,neutral,positive,clean,"Thông tin sơ sài có thể do tính chất công việc chỉ là công việc trình độ thấp, công ty tồn tại và xác thực."
68819681,2,neutral,negative,positive,neutral,negative,warning,Mức lương chưa được đề cập đến.
68864585,2,positive,positive,positive,not_mentioned,positive,clean,Thông tin công việc đầy đủ.
61072020,2,negative,positive,not_mentioned,neutral,positive,warning,"Tiêu đề công việc không phù hợp và chưa đề cập đến việc cần làm cụ thể, đây là 1 câu hứa hẹn suông."
68890595,2,negative,positive,negative,not_mentioned,positive,warning,"Tiêu đề công việc hối thúc, chưa rõ ràng về mô tả công việc cho vị trí bếp chính."
68838715,2,positive,negative,positive,not_mentioned,positive,seeding,"Thông tin còn hơi sơ sài, chuỗi cửa hàng cần xác minh thêm, thông tin về BHYT và quyền lợi là không cần thiết vì đây là quy định bắt buộc của pháp luật."
68898123,4,positive,positive,positive,not_mentioned,positive,clean,Các thông tin về mức lương ngang giá mặt bằng chung. Tin tuyển dụng đầy đủ thông tin. Công ty có tồn tại. CCCD ở đây có thể hiểu là bản sao CCCD.
68013394,4,positive,positive,negative,neutral,positive,clean,Các thông tin về mức lương ngang giá mặt bằng chung. Tin tuyển dụng đầy đủ thông tin. 
68857601,4,positive,negative,positive,not_mentioned,positive,seeding,"Các loại bảo hiểm là nghĩa vụ của công ty phải đóng cho người lao động chứ không phải là quyền lợi của người lao động. Lương tháng 13 có thể là một khoản hứa hẹn không nằm trong quy định bắt buộc của bộ lao động, cần phải làm rõ khi thành lập hợp đồng lao động."
68883653,4,positive,positive,positive,neutral,positive,clean,Các thông tin về mô tả công việc đầy đủ. Mức lương đề cập ngang giá mặt bằng chung. Công ty tuyển dụng được xác thực.
68889150,4,positive,negative,neutral,neutral,positive,seeding,Chưa đề cập mặt hàng kinh doanh. Các loại bảo hiểm là nghĩa vụ của công ty phải đóng cho người lao động chứ không phải là quyền lợi của người lao động. Các loại phụ cấp cần làm rõ khi thành lập hợp đồng.
68896735,4,negative,positive,positive,neutral,negative,warning,Các thông tin không nhất quán.
68865223,4,positive,positive,positive,neutral,positive,clean,Các thông tin về mô tả công việc đầy đủ. Mức lương đề cập ngang giá mặt bằng chung. Công ty tuyển dụng được xác thực.
68189548,4,positive,positive,positive,neutral,positive,clean,Các thông tin về mô tả công việc đầy đủ. Mức lương đề cập ngang giá mặt bằng chung. Công ty tuyển dụng được xác thực.
68819681,4,positive,negative,positive,neutral,negative,warning,Chưa đề cập đến mức lương trong tin tuyển dụng.
68864585,4,positive,positive,positive,not_mentioned,positive,clean,"Thông tin mô tả công việc đầy đủ, công ty được xác thực."
61072020,4,negative,positive,not_mentioned,neutral,positive,warning,Tiêu đề tin tuyển dụng chứa các từ hấp dẫn người đọc.
68890595,4,negative,positive,negative,not_mentioned,positive,warning,"Chưa đề cập giờ làm việc, tiêu đề chứa từ ngữ hối thức."
68838715,4,positive,negative,positive,neutral,positive,seeding,Các thông tin về mức lương ngang giá mặt bằng chung. Các loại bảo hiểm là nghĩa vụ của công ty phải đóng cho người lao động chứ không phải là quyền lợi của người lao động. Lương tháng 13 có thể là một khoản hứa hẹn không nằm trong quy định bắt buộc của bộ lao động.
68079451,4,positive,positive,negative,negative,positive,clean,Các thông tin về mô tả công việc đầy đủ. Mức lương đề cập ngang giá mặt bằng chung.
68790028,4,positive,negative,negative,neutral,positive,seeding,"Các thông tin về mức lương ngang giá mặt bằng chung. Các loại bảo hiểm là nghĩa vụ của công ty phải đóng cho người lao động chứ không phải là quyền lợi của người lao động. Lương tháng 13, thưởng Tết, du lịch có thể là một khoản hứa hẹn không nằm trong quy định bắt buộc của bộ lao động."
68818109,4,positive,positive,positive,not_mentioned,positive,clean,Các thông tin về mô tả công việc đầy đủ. Mức lương đề cập ngang giá mặt bằng chung.
68045191,4,negative,positive,positive,neutral,positive,warning,Tiêu đề công việc chứa từ ngữ hối thúc.
68845758,4,positive,negative,negative,neutral,positive,warning,Yêu cầu CCCD gốc.
68087726,4,positive,positive,negative,neutral,positive,clean,Các thông tin về mô tả công việc đầy đủ do đặc thù công việc.
68079451,3,positive,positive,negative,not_mentioned,positive,clean,"Thông tin rõ ràng, minh bạch"
68790028,3,positive,negative,negative,neutral,positive,seeding,Thông tin tuyển dụng chứa nhiều thông tin quyền lợi không cần thiết
68818109,3,positive,negative,positive,not_mentioned,positive,seeding,Thông tin tuyển dụng chứa nhiều quyền lợi không cần thiết
68045191,3,negative,positive,positive,neutral,positive,warning,Thông tin tiêu đề hối thúc
68845758,3,positive,negative,negative,neutral,positive,warning,Thông tin yêu cầu căn cước công dân gốc
68087726,3,positive,positive,negative,neutral,positive,clean,Do đặc thù công việc nên nội dung ngắn tuy nhiên vẫn là clean
68846357,3,positive,positive,positive,neutral,positive,clean,"Thông tin rõ ràng, minh bạch"
68200850,3,positive,negative,positive,neutral,positive,seeding,Thông tin tuyển dụng chứa các thông tin quyền lợi không cần thiết
68809990,3,positive,negative,negative,neutral,negative,warning,Lương không nhất quán 
68886703,3,positive,negative,positive,not_mentioned,positive,seeding,Thông tin chứa các quyền lợi không cần thiết
68872784,3,negative,negative,positive,neutral,positive,warning,"Tiêu đề công việc và mô tả công việc còn quá sơ sài, không rõ ràng, chưa biết được loại hình kinh doanh và các thông tin cần thiết."
68752026,3,positive,negative,negative,neutral,positive,warning,"hệ thống công ty không xác định, địa chỉ không đúng với các cửa hàng"
68769379,3,positive,positive,positive,neutral,positive,clean,Thông tin rõ ràng minh bạch
68837698,3,positive,positive,positive,not_mentioned,positive,clean,"Thông tin tuyển dụng rõ ràng, minh bạch"
68803098,3,negative,negative,negative,neutral,positive,warning,"Thông tin tiêu đề hối thúc, cấp bách"
68733984,3,positive,positive,negative,not_mentioned,positive,clean,Thông tin rõ ràng minh bạch
62616820,3,positive,negative,not_mentioned,not_mentioned,not_mentioned,warning,"Mức lương còn chưa rõ ràng đối với các vị trí, thông tin gây nhầm lẫn là về BHYT, quyền lợi và các địa chỉ làm việc."
43954033,3,positive,negative,positive,not_mentioned,negative,warning,Thông tin lương chưa đề cập
68836574,3,positive,negative,positive,not_mentioned,positive,warning,Thông tin yêu cầu các giấy tờ cá nhân
68825917,3,positive,positive,neutral,neutral,positive,clean,Thông tin rõ ràng minh bạch
68888325,3,positive,positive,positive,not_mentioned,positive,clean,Thông tin rõ ràng minh bạch
68820685,3,negative,positive,positive,not_mentioned,positive,warning,Thông tin tiêu đề hối thúc
68858793,3,positive,negative,positive,not_mentioned,negative,warning,Không có mô tả công việc rõ ràng
68891096,3,negative,positive,neutral,not_mentioned,positive,warning,Thông tin tiêu đề gấp gáp hối thúc
68830285,3,positive,positive,positive,not_mentioned,positive,clean,"Mặc dù có yêu cầu BHYT nhưng có cụm "" theo quy định"" nên không phải seeding"
68865945,3,positive,positive,positive,not_mentioned,positive,clean,Thông tin rõ ràng minh bạch
68891193,3,positive,negative,negative,not_mentioned,negative,warning,"Thông tin tương đối nhiều hứa hẹn như "" muốn làm giàu, hãy kinh doanh"", mức lương cũng không rõ ràng"
68845745,3,positive,negative,positive,not_mentioned,positive,warning,"Thông tin sơ sài , không chi tiết công việc"
68823557,3,positive,positive,positive,not_mentioned,positive,clean,Thông tin tương đối đầy đủ.
64799711,3,negative,negative,not_mentioned,not_mentioned,positive,warning,"Thông tin tiêu đề hối thúc, cấp bách"
68751726,3,positive,positive,positive,negative,positive,seeding,Chứa các quyền lợi không cần thiết
63966549,3,positive,positive,not_mentioned,neutral,positive,clean,Thông tin rõ ràng minh bạch
68851177,3,negative,negative,negative,neutral,positive,warning,"Tiêu đề công việc gấp gáp, thông tin về quyền lợi chưa được rõ ràng và không cần thiết."
68667999,3,positive,negative,negative,not_mentioned,positive,warning,"Đây là 1 tin cung cấp người giúp việc làm, không phải tin tuyển dụng."
68273156,3,positive,positive,negative,neutral,positive,clean,Thông tin rõ ràng minh bạch
68901389,3,positive,positive,negative,not_mentioned,positive,clean,Thông tin rõ ràng minh bạch
68876213,3,positive,negative,positive,not_mentioned,positive,seeding,Thông tin chứa các nội dung quyền lợi không cần thiết
64700191,3,negative,positive,negative,neutral,positive,warning,Thông tin gấp rút hối thúc
68796066,3,negative,negative,negative,neutral,negative,warning,"Mức lương không nhất quán, thông tin tiêu đề chưa rõ ràng"
68049227,3,positive,positive,positive,not_mentioned,positive,clean,Thông tin rõ ràng minh bạch
68876236,3,positive,negative,positive,not_mentioned,neutral,seeding,Chứa các thông tin quyền lợi không cần thiết
68867021,3,positive,positive,negative,not_mentioned,positive,clean,Thông tin rõ ràng minh bạch
68891862,3,positive,positive,positive,negative,positive,clean,Thông tin rõ ràng minh bạch
68817110,3,positive,positive,positive,neutral,negative,warning,Mức lương chưa được đề cập
68878625,3,positive,negative,negative,not_mentioned,positive,warning,Tuyển dụng yêu cầu giấy tờ căn cước
68804928,3,positive,negative,negative,neutral,positive,warning,Thông tin nhiều hứa hẹn
68885581,3,positive,negative,positive,neutral,neutral,warning,Thông tin chứa các quyền lợi không cần thiết
68140822,3,positive,negative,positive,neutral,positive,warning,"Không phải thông tin tuyển dụng, tin ứng dụng"
64485257,3,positive,negative,not_mentioned,neutral,not_mentioned,warning,"Thông tin yêu cầu chứng minh nhân dân, mặc dù thông tin tiêu đề chứa tiền lương nhưng match với thông tin bên dưới "
68893857,3,positive,positive,negative,not_mentioned,positive,clean,"Thông tin rõ ràng, minh bạch"
68862748,3,positive,positive,positive,not_mentioned,positive,clean,"Thông tin công việc tương đối đầy đủ và rõ ràng, công ty tồn tại và xác thực."
68169288,3,positive,positive,positive,neutral,positive,clean,"Thông tin công việc đầy đủ, công ty được xác thực."
64679984,3,negative,negative,negative,not_mentioned,positive,warning,"thông tin tiêu đề hối thúc, không rõ thông tin công ty"
68855018,3,positive,positive,positive,not_mentioned,positive,clean,Thông tin công việc tương đối đầy đủ.
68455421,3,negative,negative,negative,neutral,negative,warning,Thông tin lương không cụ thể
68815340,3,positive,positive,negative,not_mentioned,positive,seeding,Thông tin chứa các quyền lợi không cần thiết
68764900,3,positive,negative,not_mentioned,neutral,positive,warning,Thông tin tuyển dụng quá ngắn gọn
64726806,3,negative,positive,not_mentioned,negative,positive,warning,tiêu đề công việc gấp gáp
68876505,3,positive,negative,negative,not_mentioned,positive,warning,"Thông tin lương không rõ ràng, không rõ lương, thông tin sơ xài"
64247494,3,negative,negative,not_mentioned,neutral,positive,seeding,"Thông tin tiltle chứa tiền lương, tuy nhiên nhất quán với các thông tin bên dưới"
68865863,3,positive,positive,positive,not_mentioned,negative,warning,"Thong tin rõ ràng minh bạch, tuy nhiên mức lương không khớp với nhau"
68079451,2,positive,positive,negative,neutral,positive,clean,"Thông tin không quá đầy đủ có thể vì đây là công việc đặc thù, có thể chấp nhận được."
68790028,2,positive,negative,negative,neutral,positive,seeding,"Thông tin công việc tương đối đầy đủ, tuy nhiên quyền lợi về BHYT và BHXH bắt buộc đối với các doanh nghiệp, địa chỉ công ty chưa được ở mức cụ thể."
68818109,2,positive,positive,positive,not_mentioned,positive,clean,"Thông tin tương đối đầy đủ, đây là cửa hàng điện thoại tư nhân."
